中心暗点	Accelerator	激光治疗
视网膜血管堵塞	X-Y	眼前发暗
时间比较短	Accelerator	外路手术
视力仍然没有恢复	Accelerator	角膜云翳
内眼手术	X-Y	不规则散光
红血丝	X-Y	病毒的感染
闭角型青光眼	X-Y	青光眼白内障联合手术
形成了新生血管	Accelerator	头痛
早期	Accelerator	抗氧化剂
严重的视网膜出血	X-Y	玻璃体腔出血
散光	X-Y	眼部疲劳
小儿角膜炎	X-Y	强烈的疼痛症状
过度用眼	Accelerator	眼睑痉挛
散光	X-Y	角膜接触镜
慢性期	Accelerator	结膜充血减轻
早期	Accelerator	不需要处理
明显黄斑水肿	Accelerator	黄斑区格栅样光凝
视网膜血管堵塞	X-Y	视力会全部的下降
视物模糊	X-Y	病情耽误或者加重
睑板腺功能障碍	X-Y	睑缘涂上妥布霉素地塞米松眼膏
视网膜的疾病	X-Y	色觉的异常
视物变形	Accelerator	激光治疗
红霉素眼药膏	X-Y	对革兰氏阳性菌和衣原体有抗感染作用
视锥细胞中的光敏色素异常，或不全	X-Y	色盲
渗出性黄斑变性	X-Y	戴遮光眼镜
病情的严重程度	Accelerator	治愈的时间
白塞病性葡萄膜炎	X-Y	玻璃体腔内注射地塞米松的缓释物、曲安奈德等激素
闭角型青光眼	X-Y	建立房水外引流通道的手术
病毒性角膜炎	X-Y	大量的滤泡
早期	Accelerator	口服药物
老视的度数	X-Y	电脑验光得出来的度数
早期	Accelerator	角膜上皮一般会留有瘢痕
确定是散光	Accelerator	佩戴眼镜
血栓	Accelerator	结合理疗
手术以前一定要对眼睛进行详细的检查	Accelerator	角膜曲率
眼部疼痛	X-Y	青光眼
病毒性角膜炎	X-Y	眼睑红肿
晶体移位	X-Y	散光
糖尿病视网膜病变	X-Y	眼底出血
眼睑痉挛	X-Y	逐渐痊愈
出血之后没有积极的治疗	Accelerator	新生血管
角膜外伤性瘢痕	X-Y	散光
散光	X-Y	远视力下降
继发性视网膜脱离	X-Y	有自愈可能性
细菌性角膜炎	X-Y	眼睛局部开始变红
老视的症状	X-Y	阅读需要更强的照明度
其他一些疾病	X-Y	干眼症
睫状肌调节疲劳	X-Y	作息规律
选择合适的阅读距离	Accelerator	老花眼眼镜的验配
青光眼	X-Y	积极降眼压对症治疗
视网膜色素变性	X-Y	药物治疗
眼底的出血	X-Y	看东西会比较明亮
规则性散光	X-Y	圆柱镜矫正
验光显示有100度的远视	Accelerator	老花镜的度数就是225-200度之间
局部炎症	X-Y	到医院检查明确
糖尿病视网膜病变	X-Y	视力下降
散瞳以后散光度数消失	X-Y	视疲劳
角膜基质炎	X-Y	角膜移植术
看远了虽然看得清但是有些疲劳	Accelerator	配戴一副矫正远视的眼镜
睫状肌调节疲劳	X-Y	养成良好的用眼习惯
儿童	Accelerator	生理性的散光
眼睛出血	X-Y	结膜下出血
成人沙眼	X-Y	结膜瘢痕形成
角膜散光	Accelerator	对视力造成不可逆影响
规则散光	Accelerator	框架眼镜
反复发作的白塞氏病	Accelerator	英夫利西单抗
病毒性的鼻炎	X-Y	病毒性结膜炎
感染性因素	X-Y	角膜炎
生活所在地理位置	X-Y	老花眼
严重的并发症	Accelerator	及早手术治疗
老花眼	X-Y	可以做激光
高度近视	X-Y	激光手术
散光的原因	X-Y	光心偏离
细菌性角膜炎	X-Y	结膜囊内及内眦部常有黄白色的脓性分泌物
年龄	uncorrelated	散光
在视网膜的中心部位	Accelerator	有一个大黑点
红霉素眼药膏	X-Y	耐药性和抗药性
累及了黄斑区	Accelerator	玻璃体切割手术
远视力下降	Accelerator	严重
没有对视力造成任何的影响	Accelerator	不需要处理
老花眼	X-Y	看细小的字迹模糊
弱视	X-Y	不能让视力提高到正常
年龄增长	X-Y	老花眼
白塞病	X-Y	皮肤的损害
视网膜色素上皮病变	X-Y	定期观察眼底变化
老花眼	Accelerator	老花镜的验配
高度数	Accelerator	配戴合适的眼镜
干眼症	X-Y	坚持做眼部的保健按摩
视神经炎性病变	Accelerator	营养神经的药物
中心暗点	Accelerator	玻璃体腔内注射抗血管内皮细胞生长因子治疗
青少年	Accelerator	生理性的散光
年老体弱的人	Accelerator	白天也多用眼药膏
角膜炎	X-Y	视力造成严重的影响
存在散光	X-Y	明确具体散光类型以及散光度数
侵犯了基质层，但病变位于离瞳孔区很远的周边	Accelerator	角膜炎治愈以后，视力可以完全恢复正常
糖尿病视网膜病变	X-Y	改善视网膜微循环的药物
适当增加户外时间	X-Y	预防近视的发生、发展
手术矫正倒睫及睑内翻	X-Y	晚期沙眼瘢痕形成
湿性的黄斑变性	X-Y	影响视力
干眼症	X-Y	坚持良好的用眼习惯
角膜的损伤	Accelerator	角膜炎
流行性出血性结膜炎	X-Y	畏光
视网膜血管堵塞	X-Y	眼内注射雷珠单抗注射液或者曲安奈德注射液
散光	X-Y	配戴眼镜
年老体弱	Accelerator	全身的抗菌和抗病毒的治疗
麦粒肿	X-Y	红肿和疼痛会严重
盘状角膜炎	X-Y	醋酸泼尼松龙滴眼剂
真菌角膜炎	X-Y	角膜部位瘙痒、红肿、充血
白塞病葡萄膜炎	X-Y	畏光
真菌性角膜炎	Inhibitor	激素
总是流泪	X-Y	睑板腺功能异常
闭角型青光眼	X-Y	碳酸酐酶抑制剂
戴上眼镜	X-Y	近视的速度会变的很慢
眼底出血	X-Y	不需要口服药物
角膜炎	X-Y	治疗性角膜移植手术
获得性的散光	Accelerator	常规的矫正方法有时候很难把视力提高到正常
病毒性结膜炎	X-Y	阿昔洛韦眼药水
角膜炎	X-Y	那他霉素滴眼剂
不会对视力造成影响	Accelerator	不需要处理
急性高血压	X-Y	高血压眼底出血
散光	X-Y	头位异常可以消除
散光的度数不会太大	Accelerator	屈光手术治疗
弱视	X-Y	弱视训练
眼睛花、头痛	X-Y	不要吃辛辣刺激食物
细菌感染引起	X-Y	托百士药水
休息不好	Accelerator	眼睑痉挛
轻度的散光	X-Y	需要配戴眼镜
怎么治疗	Accelerator	明确散光和近视是多少度
眼睛看东西模糊	X-Y	睫状肌调节疲劳
角膜厚度不足	Accelerator	有晶体眼的人工晶体植入术
眼底病变	X-Y	手术
角膜炎	X-Y	角膜移植术
预防老花眼	X-Y	佩戴墨镜
角膜炎	X-Y	促角膜修复的药物
合并无灌注区	Accelerator	激光的治疗
眼睛同时存在这两种情况	Accelerator	需要分别处理
高度数	Accelerator	弱视
红绿色盲	X-Y	色盲检查表
散光加近视	X-Y	准分子激光手术
糖尿病性以及高血压性的视网膜病变	Accelerator	口服药物
细菌性角膜溃疡愈合后	Accelerator	可以用糖皮质激素
视网膜近视性改变	X-Y	视网膜裂孔
打喷嚏	X-Y	结膜下出血
避免眼部疲劳的发生	X-Y	让近视度数长的更慢一些
散光	X-Y	斜颈
脏手揉眼	Accelerator	感染性因素
凸透镜做成	Accelerator	看近距离物品时有放大效果
黑眼球内部出血	Accelerator	前房出血
散光的度数	X-Y	变得稍微大一点
视网变性	X-Y	有裂孔的视网膜脱离
视网膜血管堵塞	X-Y	视物模糊
准确验光再配戴眼镜	Inhibitor	视物变形
通过鼻泪管进入结膜	Accelerator	细菌性角膜炎
细菌感染	Accelerator	早选取敏感的抗生素药物
与他人混用脸盆和毛巾	Accelerator	感染性因素
自发性	X-Y	结膜下出血
突然增加比较多	Accelerator	眼底的病变
戴眼镜矫正后，如果头疼、恶心的情况缓解	Accelerator	近距离用眼一定需要配戴眼镜
脱离范围比较小	Accelerator	巩膜外垫压术
睑板腺功能障碍	X-Y	配合局部热敷
急性期	Accelerator	较多的黏液或黏液脓性分泌物
获得性的散光	Accelerator	角膜移植术
近视	X-Y	角膜激光矫正术
幼儿	Accelerator	自行缓解
角膜炎	X-Y	不会形成角膜瘢痕
角膜炎	X-Y	角膜变薄甚至穿孔
造成了虹膜炎	Accelerator	引起眼球剧烈的疼痛
玻璃体后脱离	X-Y	不需要处理
严重	Accelerator	新生血管性青光眼
肿瘤	X-Y	泪道狭窄或阻塞
散光加近视	X-Y	明确散光和近视是多少度
老花镜	X-Y	看近距离物品时有放大效果
糖尿病视网膜病变	X-Y	观察
眼内炎	X-Y	造成眼球的摘除
沙眼	X-Y	畏光
急性期	Accelerator	上下穹窿部结膜布满滤泡
角膜炎	X-Y	不要戴隐形眼镜
角膜的曲率不对等	X-Y	角膜形态不规则
远视	X-Y	及早矫正
盘状角膜炎	X-Y	角膜基质中出现圆盘状的浑浊、水肿
一只眼睛散光严重	X-Y	弱视
眼底出血	X-Y	进行详细的眼底检查
近视	X-Y	注意合理的用眼习惯
睫状肌过度收缩和相应的过度集合	Accelerator	视觉疲劳
干眼症	X-Y	可能自愈
结膜炎	X-Y	早选取敏感的抗生素药物
糖尿病视网膜病变	X-Y	抗VEGF
大量分泌物时	Accelerator	结膜炎
视力基本正常	Accelerator	不用戴镜
角膜炎	X-Y	减少用药次数
人的眼球	X-Y	竖椭圆形
角膜白斑	Accelerator	视力造成严重的影响
沙眼	X-Y	结膜充血明显
眼底出血	X-Y	激光的治疗
高血压	Accelerator	眼底出血
准分子激光手术	Accelerator	价格在5000-8000元
散光	uncorrelated	防蓝光眼镜
角膜炎	X-Y	激素
视网膜色素变性	X-Y	血管扩张剂
散光的原因	X-Y	在白内障发生发展的过程中，出现晶状体屈光状态的改变
眼睛视力下降的原因	X-Y	缺血性视神经病变
随着孩子年龄增长	Accelerator	散光有可能逐步消失并恢复正常
丝状角膜炎	X-Y	短期的使用抗生素的药物
眼底出血	X-Y	糖尿病性视网膜病变
闭角型青光眼	X-Y	拟副交感神经兴奋药
早期	Accelerator	多吃绿色蔬菜
软性渗出	Accelerator	激光光凝术
对视力造成的影响比较严重	Accelerator	穿透性角膜移植术
皮肤的血管瘤	X-Y	观察
眼睛看东西模糊	X-Y	眼底病变
1-2个月以后视网膜玻璃体出血仍然没有消失掉	Accelerator	做手术
常用的	Accelerator	更昔洛韦滴眼剂
使焦点后移	Accelerator	矫正近视
圆锥角膜	X-Y	角膜移植术
伴有眼部胀痛	Accelerator	急性闭角型青光眼
孩子老是眨眼睛	X-Y	人工泪液
感染性	Accelerator	由于细菌、病毒、真菌、立克次体及阿米巴原虫等感染引起
眼睛红	X-Y	结膜下出血
另外一条子午线上形成的焦点落在视网膜之后	Accelerator	远视散光
感染，细菌或者病毒的感染	Accelerator	结膜的充血
没有累及角膜的基质层	Accelerator	不会形成角膜瘢痕
眼睛出血	X-Y	视网膜出血
睑板腺功能异常	X-Y	异物感
脓性分泌物比较多	Accelerator	细菌感染
散光	X-Y	视物变形
真菌角膜炎	Accelerator	1个星期左右
圆锥角膜	X-Y	提高视力
眼部疲劳	Accelerator	医院验光
老花镜的验配	Accelerator	明显的缓解眼睛疲劳
肿瘤性	Accelerator	手术切除
近视	X-Y	晶体植入手术
视网膜近视性改变	X-Y	注意合理的用眼习惯
视网膜	X-Y	可以逐步修复
色盲	X-Y	隔代遗传
角膜炎	X-Y	常规药物保守治疗
病情得不到有效的控制	Accelerator	造成眼球的摘除
逆规散光	Accelerator	需要将散光配足
配戴老花镜	X-Y	配渐进多焦点老花镜
高度近视	X-Y	有晶体眼的人工晶体植入术
老花眼	X-Y	价格在20000-30000元左右
效果不好	Accelerator	热敷
原因	Accelerator	单纯疱疹病毒
周边视网膜变性	X-Y	视网膜脱离
长期使用	Accelerator	肝脏和肾脏功能的损伤
黄斑水肿	Accelerator	抗VEGF
调节力下降	Accelerator	阅读的时候喜欢把物体放在远一些
单纯的玻璃体混浊	X-Y	不需要特别的治疗
微血管瘤	Accelerator	羟苯磺酸钙
麦粒肿	X-Y	托百士药水
长期流眼泪	X-Y	抗感染对症治疗
色盲	X-Y	视力和视野方面一般并没有太大的异常
小片状出血	Accelerator	羟苯磺酸钙
患者畏光强烈	Accelerator	配戴深色眼镜
眼底出血	X-Y	视网膜激光光凝术
后天疾病	Accelerator	散光
眼结石	X-Y	切除
角膜炎	X-Y	用予中药治疗
度数过高	Accelerator	不适合手术
父母任意一方患有散光	X-Y	儿童及青少年散光检出率
具有传染性	Accelerator	避免接触感染
口服卵磷脂络合碘片	Accelerator	促进疾病的恢复
散光的度数	Accelerator	制定最准确的方案
细菌性角膜炎	X-Y	眼分泌物变多
白塞病性葡萄膜炎	X-Y	睫状肌的麻痹剂
老视	X-Y	佩戴老花镜
渗漏点在黄斑区比较靠外的地区	Accelerator	视网膜激光光凝
眼底的出血	X-Y	手术解决
病毒的感染	X-Y	病毒性角膜炎
黄斑牵拉综合征	Accelerator	及早处理
疾病治疗控制住	Accelerator	视野才可能一定程度的恢复
糖尿病视网膜病变	X-Y	眼睛的剧痛
视疲劳	X-Y	外观上眼睛发红
注意休息	Accelerator	逐渐痊愈
治疗不及时	Accelerator	眼球萎缩
白塞病性葡萄膜炎	X-Y	快速地控制眼部的炎症
散光	X-Y	串珠子训练对于散光是没有任何治疗的作用
眼底出血	X-Y	眼底造影
度数比较大	Accelerator	到正规医院做检查
散瞳以后，孩子的散光度数非常大	Accelerator	需要配戴眼镜
散光	X-Y	框架眼镜
视网膜色素变性	X-Y	夜盲
高度不对称的散光	Accelerator	头部倾斜
注意合理的用眼习惯	X-Y	防止近视的度数进一步增高
孔源性的视网膜脱离	X-Y	立刻治疗
干眼症	X-Y	间断的休息
黄斑水肿	Accelerator	视力下降
远视和弱视	X-Y	眼睛的低屈光力状态或者是矫正视力低于正常
青少年	Accelerator	散瞳验光
散光	X-Y	常规的矫正方法有时候很难把视力提高到正常
散光的手术原则	X-Y	必须年满18周岁
康复训练	uncorrelated	散光的度数下降
结膜炎	X-Y	不遗留后遗症
牵拉黄斑或者视网膜	Inhibitor	不需要处理
对于抗生素的治疗是不敏感的	Inhibitor	手术治疗
青光眼	X-Y	视网膜病变
沙眼性角膜血管翳	X-Y	沙眼
手术解决	Accelerator	看东西会比较明亮
探通术不管用	Accelerator	泪道置管
轻度的散光	X-Y	散光有可能逐步消失并恢复正常
角膜或晶状体曲率的异常改变	Accelerator	检眼镜不能看清楚眼底
糖尿病	X-Y	视网膜中央静脉或分支静脉阻塞
眼睛逐步出现环扎带暴露	Accelerator	及早到医院检查
小儿角膜炎	X-Y	会揉眼
病情比较重	Accelerator	时间有可能会持续数月之久
12岁以下	Accelerator	睫状肌麻痹剂来散瞳
盲目治疗	Accelerator	病情耽误或者加重
三期末到四期	Accelerator	全视网膜光凝治疗
促进血液吸收	Accelerator	应用活血化瘀、促进血液吸收的药物
视力下降	X-Y	病情耽误或者加重
真菌感染	X-Y	角膜炎
高度近视	X-Y	视网膜色素紊乱
红霉素眼药膏	X-Y	大环内酯类药物
角膜基质炎	X-Y	糖皮质激素
老视的度数	X-Y	生理性的远视度数
如果要选择佩戴隐形眼镜	Accelerator	到眼镜店或者医院的配镜中心去定制
眼睛花、头痛	X-Y	不要喝刺激性饮料
小朋友	Accelerator	白天也多用眼药膏
治疗恢复正常	Accelerator	不遗留后遗症
加上同年龄正视眼老花度数	Accelerator	初步确定近用度数
手术以后	Accelerator	视力轻度的下降
急性期	Accelerator	激素滴眼液
超过200度	Accelerator	高度散光
散光患者	X-Y	角膜激光手术
一只眼睛散光严重	X-Y	两只眼睛视力发育不平衡
眼部神经受压	X-Y	眼睛跳
重度的非增殖期糖尿病视网膜病变	X-Y	激光干预
散光	X-Y	考虑有没有圆锥角膜的可能性
老花眼	X-Y	每隔2-3年就需要重新验光配新的花镜
晶状体	X-Y	弹性就逐渐减弱
角膜炎	X-Y	两性霉素B
青光眼	X-Y	积极降眼压对症治疗
不能透见虹膜	Accelerator	角膜白斑
视网膜色素上皮病变	X-Y	视网膜脱离
用眼时间一长	Accelerator	眼睛干涩
眼睛看东西模糊	X-Y	严重的干眼
眼底出血	X-Y	手术费用一般会在20000-30000元之间
黑眼球下的红点	Accelerator	结膜血管瘤
眼部不小心受到外伤	Accelerator	感染性因素
严重时	Accelerator	角膜变薄甚至穿孔
晶体屈光度没有发生改变	Accelerator	近处物体就会看不清
眼睛流血	Accelerator	缝合处理
近视患者	X-Y	散瞳验光
近视	Accelerator	看近处需要摘掉眼镜
视网膜脱落	X-Y	外路手术
选择的材料	Accelerator	具体的价格
视网膜近视性改变	X-Y	黄斑劈裂
治疗不及时	Accelerator	视力丧失
深层角膜溃疡后弹力层膨出者	Accelerator	必要时应用降眼压药的药物
糖尿病性视网膜病变	X-Y	视网膜裂孔
一过性眼压升高	X-Y	症状会自行好转
眼外伤	X-Y	眼底出血
外伤	Accelerator	弄清楚外伤的原因
孔源性的视网膜脱离	X-Y	脱离的范围会越来越大
视网膜静脉阻塞	X-Y	眼底出血
糖尿病性眼底病变	X-Y	牵拉性视网膜脱离
凹透镜	X-Y	矫正近视
视网膜大动脉瘤破裂	X-Y	玻璃体腔出血
预防老花眼	X-Y	尽量避免长时间近距离用眼
巩膜环扎术	X-Y	很少出现排斥反应
存在手术指征	Accelerator	玻璃体切割手术
散光	X-Y	角膜接触镜
正常情况下	Accelerator	不会超过200-300度
电光性眼炎	X-Y	闭眼休息
沙眼	X-Y	结膜充血
指继发于角膜的疾病	Accelerator	获得性的散光
个人体质	X-Y	老花眼
眼睛充血	X-Y	针对角膜炎进行治疗
高度的散光	Accelerator	首选角膜接触镜
配戴眼镜	Accelerator	视力提高到正常
压痛、触痛明显	Accelerator	睑缘炎
眼底出血	X-Y	注意患者的静养
自身免疫性全身疾病	X-Y	角膜炎
戴角膜镜	Accelerator	针对这些原因进行局部的治疗
炎症控制六个月之后	Accelerator	白内障的手术
原因	Accelerator	带状疱疹病毒
下眼皮肿胀、疼痛	X-Y	睑皮炎
眼睛发痒	X-Y	过敏性结膜炎
揉眼	Accelerator	眼角红痒
角膜炎	X-Y	针对这些原因进行局部的治疗
白塞病	X-Y	复发性的口腔溃疡
偏头疼	Accelerator	保证充足睡眠
验光以后，显示眼睛存在250度的散光	Accelerator	出现眼部疲劳
配戴老花镜	X-Y	严格的医学验光
每一种疾病治疗的方案和预后都是不一样的	Accelerator	病情耽误或者加重
度数比较高的近视	X-Y	定期做眼底检查
高血压	X-Y	视网膜中央静脉或分支静脉阻塞
角膜炎	X-Y	睫状肌麻痹剂
白塞病	X-Y	影响全身多器官
沙眼	X-Y	及早选取敏感药物控制
在视网膜的中心部位	Accelerator	看东西变大、变小
熬夜	Inhibitor	使用
局部血管的炎性病变	Accelerator	活血通络的药物
沙眼	X-Y	眼睑红肿
单纯的玻璃体混浊	X-Y	及时做散瞳检查
短期	Accelerator	视力轻度的下降
抗病毒的滴眼剂	Accelerator	阿昔洛韦滴眼剂
框架眼镜	Accelerator	轴位的准确性比较好
老花眼	X-Y	手术以后视觉质量通常都非常好的
眼底病变	X-Y	原发病进行积极治疗
远视	X-Y	不用配戴眼镜
与玻璃膜疣相关	Accelerator	低视力康复治疗
老花眼做激光	X-Y	做一只眼
近距离工作	Accelerator	头痛、头晕
角膜炎	X-Y	可以互相传染
不能够自行吸收	Accelerator	保守观察1-2个礼拜左右
范围小，呈现点状	Accelerator	局部结膜下小毛细血管扩张出血
戴上眼镜	X-Y	看东西的时候一点都不费力
必须年满18周岁	Accelerator	激光手术治疗
一只眼睛散光严重	X-Y	斜视
散光	X-Y	不需要处理
